,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FractionCSP3,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolMR,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,TPSA,VSA_EState10,VSA_EState8,VSA_EState9,D_OH,D_NH2,D_O-CH3,D_1,D_2,D_3,D_4,D_5,D_6,D_7,D-§Ý C=C,D-§Ý C¡ÔC,D-§Ý Ring,§Ý_1§Ý,§Ý_2,§Ý_3,§Ý_4,§Ý_5,§Ý_6,§Ý_7,§Ý_8,§Ý_9,§Ý_C=C,§Ý_C¡ÔC,§Ý_A_C=C,§Ý_A Ring,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11,A_12,C_§Ý,C_D,C_A,C,D->C=C<,D-N(6ring),D-N(5ring),D-N<(-Ring),D-N<(Ring),A->C=C<,A-CN3,A-N(TCF),A-N(6ring),A-N(5ring),A-C=O,A-C=C,pai-N(Thiophene),pai-N(Thiazole),pai-N(benzene),,,,
CCN(C1=CC=C2C(OC(/C=C/C3=CC4=C(/C(CC4)=C5CCC6=C\5SC(/C=C/C(C(O/7)(C(F)(F)F)C(F)(F)F)=C(C#N)C7=C(C#N)\C#N)=C6)S3)=C2)=C1)CC,1.186,2449.928,38.578,28.706,30.339,25.759,16.914,18.547,12.78,14.948,9.826,12.231,7.26,9.687,40.432,42.128,0,17.374,86.613,40.681,17.403,18.218,47.75,4.417,774.156,0.275,-5.49,9.72E+11,36.851,13.732,6.019,313.64,14.336,0.461,14.336,0.442,0.377,0.442,-6.087,-0.461,196.648,274,14.054,35.124,11.332,0,0,17.954,0,0,42.128,22.674,6.076,110.364,55.311,0,35.497,68.704,15.786,0,0,57.484,17.989,101.348,18.208,96.98,2.903,92.156,54.525,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,4,5,15,1,1,1,1,0,0,3,1,0,1,0,0,0,0,0,24.9771,1155.6,1.463047316,12.59594854
N#CC(/C(NC1=O)=C(C#N)\C#N)=C1/C=C/C2=CC3=C(/C(CC3)=C4C5=C(CC/4)C=C(S5)/C=C/C6=CC=C(C=C6)N(C7=C8SC=C7)C9C8SC=C9)S2,0.937,2443.095,33.932,26.396,29.662,24.538,16.18,19.636,12.466,16.633,9.771,14.436,7.478,12.181,5.907,20.58,22.416,11.292,30.56,58.72,29.551,46.581,81.697,0,719.094,0.15,-5.15,5.42E+11,30.875,12.317,4.973,305.158,12.611,0.332,12.611,0.257,0.017,0.257,-0.487,-0.332,205.25,240,10.217,18.208,5.573,0,5.907,0,4.795,0,15.786,45.772,24.285,112.868,30.073,33.822,4.795,92.428,15.786,5.317,0,36.975,4.9,128.897,18.208,103.71,7.38,0,101.954,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,5,6,17,2,1,3,0,1,0,3,0,0,1,1,0,0,0,0,18.6376,1159.58,1.419182563,12.54752677
N#CC(/C(NC1=O)=C(C#N)/C#N)=C1/C=C/C2=CC3=C(/C(CC3)=C4C5=C(CC/4)C=C(C6=CC7=CC=C(N(CC)CC)C=C7O6)S5)S2,1.183,2160.866,31.242,24.783,26.416,21.952,14.915,16.548,11.092,13.228,8.715,11.169,6.47,8.946,5.907,20.58,22.416,0,65.257,37.715,29.551,23.482,60.462,4.417,625.161,0.222,-5.14,27457030358,28.62,11.413,4.802,268.474,12.58,0.455,12.58,0.257,0.016,0.257,-0.492,-0.455,178.931,220,14.634,29.551,5.573,0,5.907,0,4.795,0,15.786,22.674,0,104.288,44.861,21.72,9.212,62.46,15.786,5.317,0,39.531,17.989,90.649,28.845,116.85,3.518,6.391,91.591,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,4,6,15,1,1,1,1,0,0,3,0,0,1,1,0,0,0,0,20.5943,1041.15,1.419944482,12.49199692
CCN(C1=CC=C2C(OC(/C=C/C3=NC=C(/C=C/C4=CN=C(/C=C/C(C(O/C5=C(C#N)\C#N)(C(F)(F)F)C(F)(F)F)=C5C#N)S4)C=N3)=C2)=C1)CC,1.327,2204.555,36.976,26.543,27.359,24.275,14.909,15.725,10.626,11.719,7.606,8.533,5.126,5.851,40.432,31.604,5.008,28.101,47.159,24.405,36.698,24.265,38.436,14.941,719.154,0.2,-6.18,1.50E+11,36.109,14.353,7.11,290.21,14.096,0.461,14.096,0.442,0.012,0.442,-6.127,-0.461,177.628,258,14.054,40.132,17.157,0,0,17.954,0,14.952,42.128,11.337,6.076,62.427,64.834,0,35.497,58.374,15.786,14.952,0,31.801,17.989,98.443,18.208,135.65,0.916,90.544,58.624,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8,4,5,17,1,1,1,1,0,0,3,1,0,1,0,0,0,1,0,18.215,932.87,1.239777903,12.48644904
N#CC(/C(N1)=C(C#N)\C#N)=C(/C=C/C2=CC3=C(S2)/C(CC3)=C4C5=C(C=C(/C=C/C6=CC=C(C=C6)N(C7=CC=CC=C7)C8=CC=CC=C8)S5)CC/4)C1=O,1.015,2470.704,35.606,27.889,29.522,25.538,16.895,18.528,12.556,14.724,9.48,11.884,7.04,9.467,5.907,20.58,22.416,0,53.186,36.905,29.551,35.615,107.298,0,707.181,0.091,-6.5,1.31E+12,32.69,14.02,6.099,309.693,12.625,0.319,12.625,0.257,0.016,0.257,-0.492,-0.319,210.215,248,10.217,18.208,5.573,0,5.907,0,4.795,0,15.786,22.674,54.607,120.279,36.571,16.843,4.795,75.017,15.786,5.317,0,25.683,4.9,161.753,18.208,103.71,3.567,0,111.433,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,9,6,21,0,3,0,1,0,0,3,0,0,1,1,0,0,0,0,20.0046,1158.11,1.473850236,12.46150773
N#CC(/C(NC1=O)=C(C#N)/C#N)=C1C2=CC3=C(/C(CC3)=C4C5=C(CC/4)C=C(S5)/C=C/C6=CC7=CC=C(N(CC)CC)C=C7O6)S2,1.18,2160.866,31.242,24.783,26.416,21.952,14.915,16.548,11.091,13.227,8.699,11.156,6.509,9.081,5.907,20.58,22.416,4.877,55.502,53.929,23.475,18.212,60.472,4.417,625.161,0.222,-5.14,27106933434,28.62,11.413,4.802,268.474,12.912,0.457,12.912,0.258,0.001,0.258,-0.453,-0.457,179.725,220,14.634,29.551,5.573,0,5.907,0,4.795,0,15.786,22.674,0,104.288,49.738,16.843,9.212,74.109,15.786,5.317,0,39.531,17.989,89.637,18.208,116.85,3.324,6.185,91.991,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,4,6,15,1,1,1,1,0,0,3,0,0,1,1,0,0,0,0,20.6349,1026.97,1.392488195,12.44329754
CCN(CC)C1=CC=C2C(OC(/C=C/C3=NC=C(C=N3)/C=C/C4=CC=C(S4)/C=C/C(C(C(F)(F)F)(C(F)(F)F)O/5)=C(C#N)C5=C(C#N)/C#N)=C2)=C1,1.327,2202.104,36.976,26.673,27.489,24.275,15.049,15.865,10.765,11.912,7.733,8.749,5.23,6.046,40.432,31.604,4.877,28.101,47.159,24.274,42.764,24.265,33.452,14.941,718.159,0.194,-6.11,1.50E+11,36.178,14.396,7.136,290.991,14.112,0.461,14.112,0.442,0.238,0.442,-6.107,-0.461,179.833,258,14.054,35.124,17.157,0,0,17.954,0,9.968,42.128,11.337,12.152,68.483,63.514,0,35.497,58.374,15.786,9.968,0,31.801,17.989,104.249,18.208,122.76,1.027,90.643,57.413,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8,4,5,17,1,1,1,1,0,0,3,1,0,1,0,0,1,0,0,19.2667,959.35,1.316758911,12.41588214
CC(/C1=C\C2=CC3=C(/C(CC3)=C4CCC5=C\4SC(/C=C/C6=C(/C(NC6=O)=C(C#N)\C#N)C#N)=C5)S2)(C7=CC=CC=C7N1C)C,1.196,2074.938,30.75,24.538,26.171,21.243,14.47,16.103,11.856,14.023,9.079,11.465,6.908,9.37,5.907,20.58,27.831,0,30.56,53.852,29.551,23.482,73.586,0,609.166,0.222,-4.94,13563362165,27.867,10.352,4.204,264.033,12.582,0.347,12.582,0.257,0.015,0.257,-0.485,-0.347,176.01,214,10.217,18.208,5.573,0,5.907,0,4.795,0,15.786,22.674,32.047,89.947,43.356,16.843,4.795,57.566,15.786,5.317,0,44.946,11.948,106.787,18.208,103.71,3.616,0,94.967,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,3,6,15,1,1,1,0,1,0,3,0,0,1,1,0,0,0,0,21.8926,1004.21,1.477687041,12.32660935
N#C/C(C#N)=C1NC(C(/C=C/C2=NC=C(S2)/C=C/C3=CC=C(C4=CC=C(C=C4)N(C5C6SC=C5)C7=C6SC=C7)S3)=C/1C#N)=O,1.038,2086.455,30.208,22.592,25.858,21.572,13.293,16.748,9.761,13.97,7.291,11.579,5.277,9.194,5.907,10.056,22.416,16.299,9.754,44.105,35.748,35.244,80.605,10.524,642.042,0.061,-4.96,20521010848,27.848,11.612,4.905,268.889,12.375,0.332,12.375,0.257,0.032,0.257,-0.54,-0.332,178.583,210,10.217,23.215,5.573,0,5.907,0,4.795,4.984,15.786,45.772,18.209,70.987,31.393,33.822,4.795,81.282,15.786,10.301,0,11.292,4.9,113.657,28.648,116.6,6.906,0,94.761,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,5,6,17,2,1,3,0,1,0,3,0,0,1,1,0,1,1,0,14.8883,879.68,1.289248201,12.27160471
N#C/C(C#N)=C1C2=CC=CC=C2C(C/1=C\C3=NC(Cl)=C(S3)/C=C/C4=C(CCCC)C(CCCC)=C(/C=C/C5=CC6=CC=C(C=C6O5)N(CC)CC)S4)=O,1.336,2353.014,37.484,30.462,32.851,25.828,18.195,20.206,12.818,15.322,9.499,12.071,6.745,9.076,0,15.318,16.929,26.861,73.221,37.905,41.678,18.214,80.072,16.018,756.236,0.273,-4.99,9.20E+11,37.757,17.225,8.014,324.218,13.43,0.457,13.43,0.194,0.108,0.194,-0.242,-0.457,223.193,268,9.317,39.216,5.783,0,0,0,4.795,4.984,10.524,22.674,62.556,104.8,56.693,4.877,9.212,92.668,10.524,4.984,0,66.22,17.989,112.483,12.138,93.92,9.843,6.315,98.454,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,4,7,18,1,1,1,1,0,1,2,0,1,1,1,1,1,1,0,10.0527,1025.33,1.431427687,12.25000501
CCN(CC)C(C=C1O2)=CC=C1C=C2/C=C/C3=CC=C(S3)/C=C/C4=C(/C(NC4=O)=C(C#N)/C#N)C#N,1.526,1574.672,25.656,19.701,20.518,17.503,11.259,12.076,7.778,8.925,5.713,6.729,3.876,4.693,5.907,10.056,22.416,0,45.261,17.413,18.214,36.42,42.263,14.941,491.142,0.143,-4.84,174465145.3,24.29,10.612,4.834,212.329,12.297,0.457,12.297,0.257,0.014,0.257,-0.522,-0.457,141.09,176,14.634,29.551,5.573,0,5.907,0,4.795,0,15.786,11.337,0,68.483,39.984,16.843,9.212,52.129,15.786,5.317,0,13.847,17.989,80.405,18.208,116.85,1.505,6.021,80.141,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,6,14,1,1,1,1,0,0,3,0,0,1,1,0,1,0,0,18.5291,806.42,1.500027588,12.24055021
N#CC(/C(N1)=C(C#N)/C#N)=C(/C=C/C2=CC3=C(S2)/C(CC3)=C4C5=C(C=C(/C=C/C6=CC=C(N(C7=C8SC=C7)C9=C8SC=C9)C=C6)S5)CC/4)C1=O,0.957,2663.165,33.932,26.241,29.507,24.538,15.948,19.34,12.155,16.155,9.428,13.804,7.143,11.508,5.907,20.58,22.416,0,30.56,68.589,52.225,23.482,81.327,0,717.079,0.1,-5.54,5.42E+11,30.514,12.103,4.867,302.939,12.61,0.319,12.61,0.257,0.018,0.257,-0.489,-0.319,205.625,238,9.884,18.208,5.573,0,5.907,0,4.795,0,15.786,45.347,18.209,118.906,25.196,37.276,4.795,101.062,15.786,9.884,0,25.683,0,123.982,23.895,105.4,7.193,2.36,100.448,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,7,6,19,2,1,3,0,1,0,3,0,0,1,1,0,0,0,0,15.2003,1120.69,1.568273741,12.23165394
N#CC(/C(N1)=C(C#N)\C#N)=C(/C=C/C2=CN=C(/C=C/C3=CC4=CC=C(C=C4O3)N(CC)CC)N=C2)C1=O,1.504,1597.836,26.363,20.187,20.187,18.003,11.481,11.481,7.913,7.913,5.77,5.77,3.855,3.855,5.907,10.056,22.416,17.148,29.746,6.076,42.76,24.268,40.098,14.941,487.176,0.143,-5.46,273454358.9,24.658,10.859,5.144,213.128,12.257,0.457,12.257,0.257,0.054,0.257,-0.568,-0.457,138.803,180,14.634,29.551,11.398,0,5.907,0,4.795,9.968,15.786,0,6.076,50.275,48.187,16.843,9.212,40.792,15.786,15.285,0,13.847,17.989,82.3,18.208,142.63,0,5.968,85.866,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,4,6,15,1,1,1,1,0,0,3,0,0,1,1,0,0,0,0,13.8822,718.83,1.400896513,12.22883333
N#C/C(C#N)=C1NC(C(/C=C/C(S2)=CC=C2/C=C/C3=CN=C(N=C3)/C=C/C4=CC=C(N(C5C6SC=C5)C7=C6SC=C7)C=C4)=C/1C#N)=O,0.979,2196.356,32.329,24.363,26.813,23.055,14.316,16.955,10.45,13.597,7.678,10.954,5.448,8.54,5.907,10.056,22.416,17.116,20.881,33.665,30.608,65.605,67.381,10.524,663.097,0.056,-5.77,89912066662,29.914,12.918,5.853,282.509,12.375,0.332,12.375,0.257,0.022,0.257,-0.53,-0.332,188.435,224,10.217,18.208,11.398,0,5.907,0,4.795,9.968,15.786,34.435,30.361,70.987,38.276,33.822,4.795,82.098,15.786,15.285,0,11.292,4.9,131.798,18.208,129.49,5.233,0,103.6,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,5,6,19,2,1,3,0,1,0,3,0,0,1,1,0,1,0,0,13.5857,954.05,1.342963475,12.22585994
N#C/C(C#N)=C1NC(C(/C=C/C2=NC=C(/C=C/C3=CC=C(/C=C/C4=CC=C(N(C5=C6SC=C5)C7=C6SC=C7)C=C4)S3)S2)=C\1C#N)=O,1.013,2385.967,31.622,23.592,26.858,22.555,13.721,17.113,9.866,13.939,7.15,11.065,5.03,8.509,5.907,10.056,22.416,5.008,25.882,37.846,58.422,18.221,86.311,10.524,666.042,0,-5.61,53128752420,29.12,12.412,5.433,278.711,12.368,0.319,12.368,0.257,0.035,0.257,-0.543,-0.319,188.892,218,9.884,23.215,5.573,0,5.907,0,4.795,4.984,15.786,45.347,18.209,83.102,26.516,37.276,4.795,102.068,15.786,14.868,0,0,0,119.183,23.895,118.29,6.694,2.332,97.307,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,7,6,20,2,1,3,0,1,0,3,0,0,1,1,0,1,1,0,12.493,959.83,1.477931943,12.2058331
CCN(CC)C1=CC=C2C=C(C#CC(C=C3)=CC(S4)=C3N=C4/C=C/C(C(N/5)=O)=C(C#N)C5=C(C#N)\C#N)OC2=C1,1.394,1955.084,28.225,21.571,22.388,19.469,12.373,13.19,8.651,9.713,6.348,7.331,4.338,5.247,5.907,10.056,22.416,10.768,45.526,17.413,18.214,42.467,46.955,14.941,540.137,0.129,-5.61,1502179943,26.015,11.016,4.938,233.919,12.382,0.448,12.382,0.257,0.048,0.257,-0.556,-0.448,153.443,192,14.634,28.798,11.333,0,5.907,0,4.795,4.984,15.786,11.337,5.92,62.252,41.859,27.06,9.212,50.193,15.786,10.301,0,13.847,17.989,87.288,30.049,129.74,1.407,5.987,89.606,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,4,6,16,1,1,1,1,0,0,3,0,0,1,1,0,0,1,1,12.8112,737.69,1.111340167,12.18994321
CCN(C1=CC=C2C=C(/C=C/C3=CN=C(/C=C/C4=C(C#N)/C(NC4=O)=C(C#N)/C#N)S3)OC2=C1)CC,1.526,1576.996,25.656,19.571,20.388,17.503,11.119,11.935,7.639,8.733,5.585,6.513,3.773,4.497,5.907,10.056,22.416,5.008,40.384,17.413,24.411,24.288,47.247,14.941,492.137,0.148,-4.91,174465145.3,24.222,10.566,4.809,211.548,12.277,0.457,12.277,0.257,0.042,0.257,-0.55,-0.457,138.885,176,14.634,34.559,5.573,0,5.907,0,4.795,4.984,15.786,11.337,0,56.351,41.303,16.843,9.212,52.129,15.786,10.301,0,13.847,17.989,74.6,18.208,129.74,1.394,6.001,81.272,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,6,14,1,1,1,1,0,0,3,0,0,1,1,0,0,1,0,14.487,733.5,1.362963842,12.18345589
N#CC(/C(NC1=O)=C(C#N)\C#N)=C1/C=C/C2=NC=C(/C=C/C3=CN=C(/C=C/C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)N=C3)S2,1.094,2224.061,34.003,25.726,26.543,24.055,14.89,15.707,10.402,11.496,7.259,8.187,4.906,5.63,5.907,10.056,22.416,10.832,33.066,17.413,36.805,66.772,73.7,10.524,652.179,0,-7.19,1.91E+11,31.779,14.934,7.454,286.263,12.368,0.319,12.368,0.257,0.054,0.257,-0.562,-0.319,191.195,232,10.217,23.215,11.398,0,5.907,0,4.795,14.952,15.786,11.337,60.683,66.266,46.093,16.843,4.795,64.686,15.786,20.269,0,0,4.9,158.848,18.208,142.38,1.377,0,114.123,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,9,6,23,0,3,0,1,0,0,3,0,0,1,1,0,0,1,0,13.1514,905.21,1.204566371,12.18179716
N#C/C(C#N)=C1NC(C(/C=C/C2=NC=C(S2)/C=C/C3=NC=C(C4=CC=C(C=C4)N(C5C6SC=C5)C7=C6SC=C7)S3)=C/1C#N)=O,1.038,2088.778,30.208,22.462,25.728,21.572,13.152,16.608,9.621,13.777,7.166,11.366,5.166,8.993,5.907,10.056,22.416,16.299,20.325,33.665,35.748,47.517,67.381,10.524,643.038,0.063,-5.03,20521010848,27.782,11.571,4.883,268.109,12.368,0.332,12.368,0.257,0.04,0.257,-0.548,-0.332,176.378,210,10.217,28.223,5.573,0,5.907,0,4.795,9.968,15.786,45.772,18.209,58.855,27.835,38.7,4.795,81.282,15.786,15.285,0,11.292,4.9,107.852,28.648,129.49,6.75,0,95.916,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,5,6,17,2,1,3,0,1,0,3,0,0,1,1,0,0,2,0,13.6176,835.26,1.287697152,12.17689087
N#C/C(C#N)=C1OC(C(/C=C/C2=NC3=C(S2)C=C(/C=C/C4=CC=C(N(C5=CC=C(C=C5)N)C6=CC=C(C=C6)N)C=C4)C=C3)=C\1C#N)(C)C(F)(F)F,1.249,2326.304,36.338,26.811,27.627,24.433,15.273,16.09,11.517,12.579,8.164,9.147,5.447,6.366,34.256,28.957,0,21.899,45.889,29.551,6.069,103.148,9.884,16.204,697.187,0.077,-6.81,2.29E+11,34.067,13.598,6.75,294.717,14.182,0.47,14.182,0.432,0.39,0.432,-4.949,-0.47,193.968,250,21.104,28.788,11.332,5.601,0,6.176,0,4.984,28.957,11.337,36.427,96.923,34.01,10.217,17.908,68.218,15.786,4.984,0,18.701,16.367,135.685,18.208,148.77,1.254,42.547,89.865,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,9,5,18,0,3,0,1,0,0,3,1,0,1,0,0,0,1,0,21.1672,842.38,1.204702428,12.16448442
CC(C(/C=C/C1=CC=C(/C=C/C2=CN=C(/C=C/C3=CC4=CC=C(C=C4O3)N(CC)CC)N=C2)S1)=C/5C#N)(C(F)(F)F)OC5=C(C#N)\C#N,1.28,2112.431,34.476,26.039,26.856,23.025,14.732,15.548,10.619,11.766,7.662,8.677,5.014,5.83,34.256,28.957,0,16.462,53.186,29.551,36.672,36.427,34.782,9.154,664.187,0.194,-5.9,47305568473,33.463,13.841,6.779,278.494,14.065,0.47,14.065,0.432,0.489,0.432,-4.924,-0.47,179.452,240,14.054,35.124,17.157,5.601,0,6.176,0,9.968,28.957,11.337,12.152,75.407,63.514,0,22.325,58.374,15.786,9.968,0,32.549,17.989,104.249,18.208,122.76,1.3,48.202,76.331,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,4,5,17,1,1,1,1,0,0,3,1,0,1,0,0,1,0,0,19.8086,914.87,1.503701125,12.14502358
N#C/C(C#N)=C1NC(C(/C=C/C2=NC=C(C#CC3=CN=C(/C=C/C4=CC=C(C=C4)N(C5=C6SC=C5)C7C6SC=C7)N=C3)S2)=C\1C#N)=O,0.99,2258.506,32.329,24.078,26.528,23.055,14.015,16.654,10.145,13.207,7.403,10.541,5.235,8.186,5.907,10.056,22.416,32.564,5.563,33.665,36.805,41.32,84.205,10.524,662.077,0.057,-6.02,89912066662,29.678,12.767,5.769,281.417,12.343,0.332,12.343,0.257,0.051,0.257,-0.572,-0.332,183.282,222,10.217,23.215,11.398,0,5.907,0,4.795,14.952,15.786,34.435,30.205,58.699,22.958,50.46,4.795,69.945,15.786,20.269,0,11.292,4.9,125.992,30.049,142.38,5.021,0,105.812,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,5,6,19,2,1,3,0,1,0,3,0,0,1,1,0,0,1,0,12.6884,893.66,1.181681597,12.13280145
CC(/C1=C\C2=CC=C(/C=C/C3=CC=C(/C=C/C4=C(/C(NC4=O)=C(C#N)/C#N)C#N)S3)S2)(C5=CC=CC=C5N1C)C,1.315,1806.294,28.441,22.019,23.652,19.26,12.383,14.016,9.706,12,6.929,8.942,4.897,6.565,5.907,10.056,27.831,0,14.631,21.825,46.964,18.202,85.738,10.524,557.134,0.125,-4.94,1259288545,26.659,10.672,4.809,240.585,12.36,0.347,12.36,0.257,0.004,0.257,-0.512,-0.347,161.482,194,10.217,18.208,5.573,0,5.907,0,4.795,0,15.786,22.674,32.047,66.275,43.356,16.843,4.795,58.572,15.786,5.317,0,19.262,11.948,107.792,18.208,103.71,3.279,0,90.638,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,3,6,16,1,1,1,0,1,0,3,0,0,1,1,0,2,0,0,16.5675,839.49,1.380134226,12.12544103
O=C(N/C1=C(C#N)\C#N)C(/C=C/C2=NC3=C(C=C(/C=C/C(C=C4)=CC=C4N(C5=CC=CC=C5)C6=CC=CC=C6)C=C3)S2)=C1C#N,1.212,2116.189,31.175,23.677,24.493,22.072,13.853,14.67,9.872,10.934,7.058,8.041,4.908,5.827,5.907,10.056,22.416,5.008,38.406,17.413,18.214,54.6,81.95,10.524,598.158,0,-6.53,26229852145,28.583,12.771,6.023,263.408,12.448,0.319,12.448,0.257,0.038,0.257,-0.546,-0.319,177.741,212,10.217,23.215,5.573,0,5.907,0,4.795,4.984,15.786,11.337,66.749,71.81,17.062,27.06,4.795,62.751,15.786,10.301,0,0,4.9,147.755,18.208,116.6,1.452,0,104.048,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,9,6,21,0,3,0,1,0,0,3,0,0,1,1,0,0,1,1,11.635,785.17,1.21534208,12.08349227
